mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
-764.22675,-14.586967,-143.37823,61.519314,86.548386,-53.719296,14.332229,6.0414877,29.716501,21.627804,2.3638718,-15.186162,24.081152,0
-757.2435,-7.1300097,-148.9495,58.75553,88.25768,-54.067486,17.443077,4.18149,24.31932,15.633744,-0.08005178,-19.092749,19.286951,0
-631.77356,36.79607,-111.68687,30.636938,46.1289,-25.141842,8.427207,22.297604,5.7184095,13.396002,10.903357,-9.2552185,16.352468,0
-738.685,16.420319,-96.54808,16.265255,44.80698,-27.34924,13.546254,16.177406,10.845359,8.732855,12.294929,-11.531773,18.55313,0
-547.03656,-82.06518,-183.60817,122.69583,32.704266,-17.319248,-18.535622,-26.71507,40.680946,-3.244049,-2.597991,-1.4314047,-14.780164,0
-602.0959,-103.42558,-221.57799,126.99144,34.68887,3.286204,-11.270864,-55.492184,41.702908,-5.01173,16.575197,-7.5405836,-17.015696,0
-702.72736,46.17702,-149.82388,-25.1643,94.14802,-3.8205194,-7.015071,14.264336,6.849446,-0.34561792,41.945713,-2.0212798,-19.250246,0
-706.75165,42.88672,-146.94284,-17.328823,99.05556,-3.7711961,-13.40814,5.425811,5.1711392,2.6669567,39.80285,-2.9757895,-13.039112,0
-785.52496,12.858472,-122.04977,8.311604,76.22018,-40.467083,8.612701,18.563662,20.81943,4.912581,3.7084708,-15.981879,25.89408,0
-750.4083,-47.84627,-110.54882,60.642696,40.66416,6.2494683,-13.332245,6.46245,46.991356,-16.214672,17.9051,-11.85081,16.759388,0
-747.01654,-42.48633,-109.12344,57.430676,40.16426,7.1620436,-11.136411,4.820186,47.43813,-13.806802,13.024538,-14.230351,19.039286,0
-418.3782,-57.037968,-139.14227,82.84617,33.66662,-5.5817256,-25.768112,-13.671536,34.7373,-11.542835,3.1524687,6.4464555,-13.52826,0
-698.7012,-1.3435038,-151.50783,0.05862436,125.01146,-6.525399,-81.06575,6.3267627,42.708157,-11.529819,-5.3607697,8.145123,-13.699762,0
-783.3654,-18.95528,-117.93826,42.261158,52.031403,-37.077217,24.962881,-5.2270513,25.01321,14.372585,-7.8459997,-11.647234,18.72854,0
-778.80853,-18.443571,-125.91627,42.24166,54.89754,-40.248928,28.466085,-6.295612,22.86639,20.73692,-5.554161,-9.848357,18.800417,0
-757.10364,-32.6325,-152.53905,58.880615,103.055756,-59.142757,-23.933498,2.7784297,21.148727,24.517578,-11.827035,-37.043858,27.768229,0
-714.131,18.944643,-111.930016,-8.721919,98.605515,10.938623,-41.141537,21.295902,50.90604,-4.0390477,-4.6112247,4.932583,5.751535,0
-686.67676,22.707443,-111.636,-7.090028,93.02017,-9.946264,-39.23978,26.319584,32.065937,1.9543201,3.1755192,-0.031371992,4.9474134,0
-714.131,18.944643,-111.930016,-8.721919,98.605515,10.938623,-41.141537,21.295902,50.90604,-4.0390477,-4.6112247,4.932583,5.751535,0
-947.97894,-39.951847,-85.65313,6.0990696,127.594,-63.045654,-48.546562,69.30377,49.025177,-59.796352,8.570718,25.93388,12.875224,0
-744.4027,35.93342,-82.14381,14.177079,65.846535,-33.03677,-6.380679,45.224724,24.905449,-32.828907,12.813843,17.990768,-0.08073273,0
-753.7952,20.329086,-105.913605,20.499025,59.668358,-52.669704,15.401738,50.129063,11.996092,-16.21139,26.735796,5.7927036,12.742846,0
-745.2584,7.7654686,-107.132576,39.980755,50.755096,-56.88415,27.199156,38.576942,3.5023572,-6.611269,10.554083,-0.3878292,22.816608,0
-722.43396,15.92488,-133.87665,29.658403,68.565605,-47.553505,10.209669,20.12416,12.881474,12.25451,9.649119,-18.903679,23.798887,0
