PC1,PC2,PC3,Class,Original_Label
15.467543,13.889304,20.821907,Whistle,0
18.817177,-5.7944117,-2.5866294,Whistle,0
29.050364,-10.463237,-3.1429965,Whistle,0
-42.10977,34.533512,23.08015,Whistle,0
15.165363,-25.881134,-0.6978349,Whistle,0
5.546837,-29.416147,-7.749716,Whistle,0
-119.111206,-12.805066,3.56746,Whistle,0
-124.78467,-13.111981,3.7862973,Whistle,0
20.476479,-9.865813,2.1080878,Whistle,0
-51.13054,-81.5728,-5.887687,Whistle,0
0.67159843,-0.67015004,-7.1606,Whistle,0
-0.55195236,3.0229957,-11.002643,Whistle,0
-9.632122,3.0536983,-1.8066517,Whistle,0
-44.976486,35.38001,20.585533,Whistle,0
-133.62628,-13.733447,4.15216,Whistle,0
-7.3324165,-4.297409,-1.684988,Whistle,0
-11.26646,-7.0793505,-4.507592,Whistle,0
-147.88333,-14.641062,4.5627904,Whistle,0
-82.01473,32.533348,-36.91669,Whistle,0
9.640837,0.41454172,-0.52807,Whistle,0
10.651598,-0.50395393,-8.611696,Whistle,0
20.383533,1.9923565,-1.4204906,Whistle,0
-159.24458,-15.341708,4.840767,Whistle,0
13.057714,-3.2815852,0.8267226,Whistle,0
-3.4375153,6.9944515,3.5864205,Whistle,0
-96.03699,56.997814,-26.321619,Whistle,0
-95.38972,44.17895,-17.35257,Whistle,0
12.660664,3.4787352,-3.8002903,Whistle,0
-64.70949,62.134235,9.277199,Whistle,0
-4.3101616,-7.708947,1.1806204,Whistle,0
-50.877556,44.98279,21.655499,Whistle,0
9.501297,-3.02295,6.6902885,Whistle,0
18.919989,-2.4899344,-0.032396317,Whistle,0
24.939188,4.366431,-5.7126346,Whistle,0
24.205727,-6.883298,-1.8374065,Whistle,0
0.8636589,-12.205299,-3.3359969,Whistle,0
16.340517,-1.6088791,0.4236852,Whistle,0
26.313303,6.1007824,11.060158,Whistle,0
20.801167,-8.6557045,-2.3646536,Whistle,0
-69.125145,51.8227,4.516109,Whistle,0
25.981682,-3.5463662,-1.62242,Whistle,0
-161.96893,-15.528464,4.931529,Whistle,0
13.172094,-4.2058268,-0.6999701,Whistle,0
-67.906265,58.749516,-27.995365,Whistle,0
18.996874,4.71389,8.090923,Whistle,0
-28.43927,-2.1365569,-28.393677,Whistle,0
