mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
-683.3114,-33.868816,-154.6793,49.00772,81.76788,-31.011202,-5.0577927,9.028719,5.1126213,5.6006265,15.227318,-12.2642355,5.9053698,Whistle
-448.86206,41.43498,-38.410748,-10.631449,-2.8969452,22.309235,5.766032,17.066694,3.8291144,6.456561,1.1242564,7.099175,0.088490754,Click
-734.115,-138.80743,-125.154,-5.3272347,-15.895128,5.063563,11.241536,8.271388,0.36775473,-2.719814,2.0238662,3.509881,1.1045207,Burst Pulse
