UMAP1,UMAP2,UMAP3,Class,Original_Label
6.7137504,13.320468,9.222997,Whistle,0
-3.0976372,-1.9126725,2.9511704,Whistle,0
-2.8468637,-2.4219267,6.398771,Whistle,0
-1.778385,-1.411145,5.5717883,Whistle,0
-1.567526,-1.1721234,6.235799,Whistle,0
-2.845531,-2.428716,6.2976317,Whistle,0
-1.8157382,-1.718965,5.400977,Whistle,0
-1.4452697,-1.4200826,6.4364777,Whistle,0
2.1951513,5.833555,0.13387892,Whistle,0
-2.1369996,-0.5532668,5.6989527,Whistle,0
-2.0391994,-0.5033552,5.3606825,Whistle,0
6.2908497,13.054208,9.284273,Whistle,0
6.637232,13.271308,9.227667,Whistle,0
-2.2356908,-1.173592,5.6041136,Whistle,0
-0.87814146,4.5592427,1.2359315,Whistle,0
-2.3629982,-2.6501052,3.9416232,Whistle,0
-2.3209581,-2.7186615,3.895101,Whistle,0
-3.144419,-2.1077137,2.7854297,Whistle,0
2.1754622,5.820611,0.08303838,Whistle,0
7.1880846,13.668495,9.200813,Whistle,0
-3.1916065,-1.8236147,2.6630578,Whistle,0
-3.3489025,-1.6027484,2.201949,Whistle,0
7.861653,14.269313,9.075311,Whistle,0
2.00057,10.650751,4.6208124,Whistle,0
-2.4885073,-2.084623,4.564456,Whistle,0
-2.1024613,-2.0946708,4.6852484,Whistle,0
-1.9564302,-2.281387,5.637397,Whistle,0
14.671537,5.008938,10.058536,Whistle,0
-2.2292688,-1.8881075,5.033056,Whistle,0
-3.0632765,-2.044171,2.982954,Whistle,0
3.371181,9.567418,-0.866299,Whistle,0
3.350369,9.568411,-0.86772394,Whistle,0
-2.0958652,-2.4625916,4.9686885,Whistle,0
2.743242,6.5665536,-1.1952043,Whistle,0
-2.9377067,-1.6044432,3.4550934,Whistle,0
2.249795,5.8963275,0.087436914,Whistle,0
-2.529989,-1.7589631,4.7741446,Whistle,0
-1.9796888,-1.8652561,5.440743,Whistle,0
-1.5707816,-2.4520047,6.2061167,Whistle,0
-1.674808,-1.6102953,5.9463253,Whistle,0
-2.7659354,-1.3464779,3.7617452,Whistle,0
-2.0568993,-1.8643554,5.2784696,Whistle,0
-2.4296842,-2.4692268,6.312354,Whistle,0
-1.7620342,-1.4435754,5.6766343,Whistle,0
2.69944,6.552252,-1.137837,Whistle,0
-1.5616764,-2.0689223,6.425122,Whistle,0
14.678283,4.9595103,10.060727,Whistle,0
-2.1577277,-1.8145807,4.970409,Whistle,0
3.5230114,9.352071,-0.83792764,Whistle,0
-2.4552262,-2.4357622,5.918477,Whistle,0
1.9077631,2.2649708,3.451267,Whistle,0
-1.8155413,-1.5717269,5.7237434,Whistle,0
-1.3885946,-1.3337291,6.4717402,Whistle,0
-1.8043181,-2.334641,5.892578,Whistle,0
-1.6468856,-2.144681,8.627295,Whistle,0
7.691761,14.101714,9.213294,Whistle,0
6.422181,13.14216,9.244394,Whistle,0
3.4496057,9.439466,-0.8344587,Whistle,0
6.160246,13.040472,9.30213,Whistle,0
-3.1280472,-2.0335636,2.8748574,Whistle,0
0.9111906,4.163197,-0.07204814,Whistle,0
-2.2233095,5.2859554,3.2637603,Whistle,0
-2.191477,-1.2621629,5.525787,Whistle,0
2.1285017,5.723303,0.2705748,Whistle,0
-2.2861795,-1.0247011,5.618141,Whistle,0
-2.0176978,-0.5242816,5.5463095,Whistle,0
3.6291268,9.247886,-0.7923217,Whistle,0
-2.2477553,-1.177654,4.8501844,Whistle,0
-2.4539258,-1.5155905,4.5765953,Whistle,0
-2.9029987,-1.678406,3.484685,Whistle,0
5.9107823,12.77557,9.202703,Whistle,0
-1.683521,-0.99732536,5.582957,Whistle,0
-3.4058437,-1.6162694,2.1698668,Whistle,0
5.874092,12.809705,9.258583,Whistle,0
-2.8669744,-2.0491586,5.306071,Whistle,0
-1.9103097,-2.720816,4.893793,Whistle,0
-2.71721,-1.9252424,5.4739428,Whistle,0
3.4850926,9.388998,-0.8172569,Whistle,0
-2.6906238,-1.7254074,4.22915,Whistle,0
-2.7750342,-2.096538,5.249296,Whistle,0
3.6445417,12.450694,6.722986,Whistle,0
-2.6855407,-1.4745141,4.1020412,Whistle,0
7.1191907,13.617201,9.2219515,Whistle,0
-2.068458,-1.8550522,5.30684,Whistle,0
-2.6343412,-2.049466,5.2563963,Whistle,0
-3.3956163,-1.3306307,2.2320845,Whistle,0
14.589391,5.1623554,10.054131,Whistle,0
-1.8823838,-1.6909726,5.8332844,Whistle,0
3.3843815,9.519389,-0.8557554,Whistle,0
-1.8732771,-1.654685,5.748129,Whistle,0
7.8413754,14.250637,9.096212,Whistle,0
2.7339752,6.496078,-1.1405698,Whistle,0
7.7509747,14.160224,9.168164,Whistle,0
-2.368805,-1.7125232,4.773066,Whistle,0
-2.4321048,-1.7451398,4.68567,Whistle,0
2.2896352,2.3546233,3.5171885,Whistle,0
-1.8095266,-1.0129901,5.3062572,Whistle,0
-2.0079474,-1.922817,7.69996,Whistle,0
-1.1942267,-1.4279225,6.1196465,Whistle,0
-2.0236397,-2.0194874,7.580292,Whistle,0
-1.2964479,-1.2039241,6.532291,Whistle,0
0.88013715,4.2646713,-0.15379488,Whistle,0
-1.7676609,-0.65687454,5.297426,Whistle,0
-2.3642118,-2.196057,6.818538,Whistle,0
-1.7119491,3.7087195,3.8157105,Whistle,0
-2.0259173,-2.0200114,7.4760294,Whistle,0
-1.4051545,-1.4845804,6.8301606,Whistle,0
3.3474472,9.565822,-0.8750418,Whistle,0
3.660567,12.462667,6.738053,Whistle,0
-0.61844504,4.1280794,1.6995867,Whistle,0
-2.7794755,-1.7534325,4.127541,Whistle,0
6.60842,13.256843,9.230217,Whistle,0
1.6983392,5.9022036,-2.0787678,Whistle,0
7.6323876,14.043485,9.250588,Whistle,0
-2.756533,-1.6492442,4.0322413,Whistle,0
3.3001897,9.6234,-0.9212251,Whistle,0
2.761006,6.4886403,-1.1692986,Whistle,0
2.2231097,5.8508615,0.09586029,Whistle,0
2.3597202,2.3213823,3.4794476,Whistle,0
-2.867981,-1.6396403,3.6614125,Whistle,0
-2.1972566,-1.7580562,5.0071974,Whistle,0
-1.5799407,-2.0869234,6.479043,Whistle,0
-1.5571625,-2.2111933,7.0183206,Whistle,0
-2.5131316,-1.9216878,6.5645723,Whistle,0
2.131205,10.826676,4.746872,Whistle,0
-2.8284512,-2.04035,4.9355426,Whistle,0
-2.163314,-1.7580905,5.03686,Whistle,0
-1.6110067,-2.1073573,6.2560086,Whistle,0
-1.6770352,-2.3484273,6.780401,Whistle,0
-2.528145,-1.7193131,6.240881,Whistle,0
2.1410992,5.809011,0.18340853,Whistle,0
-2.4790761,-1.5320383,4.4560533,Whistle,0
-1.5997978,-2.073606,7.0938053,Whistle,0
-2.721488,-1.5845284,3.9889526,Whistle,0
-1.700575,-2.0746586,7.36073,Whistle,0
-1.4269034,-2.0769336,6.943189,Whistle,0
2.2365348,2.354366,3.569594,Whistle,0
-2.6360366,-1.4988953,4.18527,Whistle,0
-1.6074609,-2.0792031,7.070504,Whistle,0
-3.4974642,-1.512005,2.0700629,Whistle,0
-1.6215029,-2.0073152,7.119163,Whistle,0
-1.4917486,-1.8727063,6.387573,Whistle,0
-3.5692728,-1.585577,1.8187772,Whistle,0
-2.7703156,-2.1194541,6.484993,Whistle,0
-1.5551385,-2.3666277,6.675315,Whistle,0
-1.4425733,-1.5388551,6.993005,Whistle,0
